,pnu,ldCode,pblntfPclnd,lndpclAr,prposArea1,lndcgrCode,tpgrphHgCode,tpgrphFrmCode,roadSideCode,pclndIndex,pclndChgRt,juso,trafficAmount,distance
0,4111112900100010000,4111112900,13500,4046,44,02,03,07,12,105.251,0.126,경기도 수원시 장안구 파장동 1,1553317,1.138722669696941
1,4111112900100020000,4111112900,13500,3081,44,02,03,07,12,105.251,0.126,경기도 수원시 장안구 파장동 2,1553317,1.294198043525969
2,4111112900100020001,4111112900,7210,532,44,05,03,07,12,105.251,0.126,경기도 수원시 장안구 파장동 2-1,1553317,1.232822893863512
3,4111112900100020002,4111112900,7210,592,44,05,03,07,12,105.251,0.126,경기도 수원시 장안구 파장동 2-2,1553317,1.228563964629857
4,4111112900100030001,4111112900,7210,2668,44,05,03,07,12,105.251,0.126,경기도 수원시 장안구 파장동 3-1,1553317,1.558711653643597
5,4111112900100030002,4111112900,13600,992,44,02,03,07,10,105.251,0.126,경기도 수원시 장안구 파장동 3-2,1553317,1.346671247884795
6,4111112900100030003,4111112900,7280,261,44,05,03,07,10,105.251,0.126,경기도 수원시 장안구 파장동 3-3,1553317,1.38343655364024
7,4111112900100030004,4111112900,7210,284,44,05,03,07,12,105.251,0.126,경기도 수원시 장안구 파장동 3-4,1553317,1.411494588014633
8,4111112900100030005,4111112900,13500,850,44,05,03,07,12,105.251,0.126,경기도 수원시 장안구 파장동 3-5,1553317,1.478650341729339
9,4111112900100030006,4111112900,13500,1534,44,05,03,07,12,105.251,0.126,경기도 수원시 장안구 파장동 3-6,1553317,1.513792216136465
10,4111113000100010001,4111113000,2323000,337.2,22,08,02,07,05,106.427,0.179,경기도 수원시 장안구 정자동 1-1,1553317,3.137992877900634
11,4111113000100010002,4111113000,2323000,343.8,22,08,02,07,01,106.427,0.179,경기도 수원시 장안구 정자동 1-2,1553317,3.155807928970672
12,4111113000100010003,4111113000,1875000,290.6,22,08,02,03,06,106.427,0.179,경기도 수원시 장안구 정자동 1-3,1553317,3.156802523175541
13,4111113000100010004,4111113000,1852000,152.4,22,08,02,01,06,106.427,0.179,경기도 수원시 장안구 정자동 1-4,1553317,3.164295312818222
14,4111113000100010006,4111113000,1494000,433.1,22,08,02,08,06,106.427,0.179,경기도 수원시 장안구 정자동 1-6,1553317,3.177562380027349
15,4111113000100010007,4111113000,2395000,277.7,22,08,02,04,01,106.427,0.179,경기도 수원시 장안구 정자동 1-7,1553317,3.178567519823858
16,4111113000100010008,4111113000,2420000,398,22,08,02,03,01,106.427,0.179,경기도 수원시 장안구 정자동 1-8,1553317,3.192155076868184
17,4111113000100010009,4111113000,2420000,388.4,22,08,02,03,01,106.427,0.179,경기도 수원시 장안구 정자동 1-9,1553317,3.205454647588693
18,4111113000100010010,4111113000,2088000,455.5,22,08,02,02,07,106.427,0.179,경기도 수원시 장안구 정자동 1-10,1553317,3.193275223306534
19,4111113000100010011,4111113000,2088000,414.2,22,08,02,02,07,106.427,0.179,경기도 수원시 장안구 정자동 1-11,1553317,3.222536658711008
20,4111113100100010000,4111113100,73100,1554,44,02,03,07,12,105.251,0.126,경기도 수원시 장안구 이목동 1,505562,1.497347830278239
21,4111113100100020001,4111113100,73100,1779,44,02,03,07,12,105.251,0.126,경기도 수원시 장안구 이목동 2-1,505562,1.533987496615818
22,4111113100100020002,4111113100,73100,2298,44,02,03,07,12,105.251,0.126,경기도 수원시 장안구 이목동 2-2,505562,1.571960380021868
23,4111113100100030000,4111113100,85000,7061,44,02,03,07,08,105.251,0.126,경기도 수원시 장안구 이목동 3,1553317,1.556221840770648
24,4111113100100030001,4111113100,9370,1163,44,05,03,07,12,105.251,0.126,경기도 수원시 장안구 이목동 3-1,1553317,1.602371128306158
25,4111113100100030002,4111113100,9470,2626,44,05,03,07,10,105.251,0.126,경기도 수원시 장안구 이목동 3-2,1553317,1.564987338091135
26,4111113100100030003,4111113100,9470,1134,44,05,03,04,10,105.251,0.126,경기도 수원시 장안구 이목동 3-3,1553317,1.531948517931027
27,4111113100100030004,4111113100,9470,827,44,05,03,07,10,105.251,0.126,경기도 수원시 장안구 이목동 3-4,1553317,1.555841112510569
28,4111113100100030005,4111113100,9470,681,44,05,03,04,10,105.251,0.126,경기도 수원시 장안구 이목동 3-5,1553317,1.511177627052269
29,4111113100100030006,4111113100,9470,756,44,05,03,07,10,105.251,0.126,경기도 수원시 장안구 이목동 3-6,1553317,1.578060344206615
30,4111113200100010000,4111113200,69000,1451,44,02,03,07,12,105.761,0.161,경기도 수원시 장안구 율전동 1,505562,1.558239084926168
31,4111113200100020000,4111113200,69000,403,44,02,03,07,12,105.761,0.161,경기도 수원시 장안구 율전동 2,505562,1.451802160213067
