name,pnucode
수원장안구,41111
수원권선구,41113
수원팔달구,41115
수원영통구,41117
성남,41130
성남수정구,41131
성남중원구,41133
성남분당구,41135
의정부시,41150
안양,41170
안양만안구,41171
안양동안구,41173
부천시,41190
광명시,41210
평택시,41220
동두천시,41250
안산,41270
안산상록구,41271
안산단원구,41273
고양,41280
고양덕양구,41281
고양일산동구,41285
고양일산서구,41287
과천시,41290
구리시,41310
남양주시,41360
오산시,41370
시흥시,41390
군포시,41410
의왕시,41430
하남시,41450
용인,41460
용인처인구,41461
용인기흥구,41463
용인수지구,41465
파주시,41480
이천시,41500
안성시,41550
김포시,41570
화성시,41590
광주시,41610
양주시,41630
포천시,41650
여주시,41670
연천군,41800
가평군,41820
양평군,41830
파장동,12900
정자동,13000
이목동,13100
율전동,13200
천천동,13300
영화동,13400
송죽동,13500
조원동,13600
연무동,13700
상광교동,13800
하광교동,13900
세류동,12600
평동,12700
고색동,12800
오목천동,12900
평리동,13000
서둔동,13100
구운동,13200
탑동,13300
금곡동,13400
호매실동,13500
곡반정동,13600
권선동,13700
장지동,13800
대황교동,13900
입북동,14000
당수동,14100
팔달로1가,12000
팔달로2가,12100
팔달로3가,12200
남창동,12300
영동,12400
중동,12500
구천동,12600
남수동,12700
매향동,12800
북수동,12900
신풍동,13000
장안동,13100
교동,13200
매교동,13300
매산로1가,13400
매산로2가,13500
매산로3가,13600
고등동,13700
화서동,13800
지동,13900
우만동,14000
인계동,14100
매탄동,10100
원천동,10200
이의동,10300
하동,10400
영통동,10500
신동,10600
망포동,10700
신흥동,10100
태평동,10200
수진동,10300
단대동,10400
산성동,10500
양지동,10600
복정동,10700
창곡동,10800
신촌동,10900
오야동,11000
심곡동,11100
고등동,11200
상적동,11300
둔전동,11400
시흥동,11500
금토동,11600
사송동,11700
성남동,10100
금광동,10300
은행동,10400
상대원동,10500
여수동,10600
도촌동,10700
갈현동,10800
하대원동,10900
중앙동,13200
분당동,10100
수내동,10200
정자동,10300
율동,10400
서현동,10500
이매동,10600
야탑동,10700
판교동,10800
삼평동,10900
백현동,11000
금곡동,11100
궁내동,11200
동원동,11300
구미동,11400
운중동,11500
대장동,11600
석운동,11700
하산운동,11800
의정부동,10100
호원동,10200
장암동,10300
신곡동,10400
용현동,10500
민락동,10600
낙양동,10700
자일동,10800
금오동,10900
가능동,11000
녹양동,11100
고산동,11200
산곡동,11300
안양동,10100
석수동,10200
박달동,10300
비산동,10100
관양동,10200
평촌동,10300
호계동,10400
원미동,10100
심곡동,10200
춘의동,10300
도당동,10400
약대동,10500
소사동,10600
역곡동,10700
중동,10800
상동,10900
소사본동,11000
심곡본동,11100
범박동,11200
괴안동,11300
송내동,11400
옥길동,11500
계수동,11600
오정동,11700
여월동,11800
작동,11900
원종동,12000
고강동,12100
대장동,12200
삼정동,12300
내동,12400
광명동,10100
철산동,10200
하안동,10300
소하동,10400
노온사동,10500
일직동,10600
가학동,10700
옥길동,10800
서정동,10100
장당동,10200
모곡동,10300
칠괴동,10400
칠원동,10500
도일동,10600
가재동,10700
장안동,10800
이충동,10900
지산동,11000
독곡동,11100
신장동,11200
평택동,11300
통복동,11400
군문동,11500
유천동,11600
합정동,11700
비전동,11800
동삭동,11900
세교동,12000
지제동,12100
신대동,12200
소사동,12300
용이동,12400
월곡동,12500
청룡동,12600
죽백동,12700
팽성읍,25000
안중읍,25300
포승읍,25600
청북읍,25900
진위면,31000
서탄면,32000
고덕면,33000
오성면,34000
현덕면,37000
송내동,10100
지행동,10200
생연동,10300
광암동,10400
걸산동,10500
보산동,10600
동두천동,10700
안흥동,10800
상봉암동,10900
하봉암동,11000
탑동동,11100
상패동,11200
일동,10100
이동,10200
사동,10300
본오동,10400
팔곡이동,10500
양상동,10600
부곡동,10700
성포동,10800
월피동,10900
팔곡일동,11000
건건동,11100
사사동,11200
수암동,11300
장상동,11400
장하동,11500
고잔동,10100
와동,10200
신길동,10300
성곡동,10400
원시동,10500
목내동,10600
초지동,10700
원곡동,10800
선부동,10900
대부동동,11000
대부북동,11100
대부남동,11200
선감동,11300
풍도동,11400
화정동,11500
주교동,10100
원당동,10200
신원동,10300
원흥동,10400
도내동,10500
성사동,10600
북한동,10700
효자동,10800
지축동,10900
오금동,11000
삼송동,11100
동산동,11200
용두동,11300
벽제동,11400
선유동,11500
고양동,11600
대자동,11700
관산동,11800
내유동,11900
토당동,12000
내곡동,12100
대장동,12200
화정동,12300
강매동,12400
행주내동,12500
행주외동,12600
신평동,12700
행신동,12800
화전동,12900
현천동,13000
